Tweet,positive,negative,neutral,question,suggestion
"@VirginAmerica awaiting my return phone call, just would prefer to use your online self-service option :(",0,1,0,0,0
@VirginAmerica this is great news!  America could start flights to Hawaii by end of year http://t.co/r8p2Zy3fe4 via @Pacificbiznews,1,0,0,0,0
Nice RT @VirginAmerica: Vibe with the moodlight from takeoff to touchdown. #MoodlitMonday #ScienceBehindTheExperience http://t.co/Y7O0uNxTQP,0,0,1,0,0
@VirginAmerica Moodlighting is the only way to fly! Best experience EVER! Cool and calming. ?✈ #MoodlitMonday,1,0,0,0,0
"@VirginAmerica @freddieawards Done and done! Best airline around, hands down!",1,0,0,0,0
@VirginAmerica when can I book my flight to Hawaii??,0,0,1,0,0
@VirginAmerica Your chat support is not working on your site take a look and repair it http://t.co/vhp2GtDWPk,0,0,0,0,1
"@VirginAmerica View of downtown Los Angeles, the Hollywood Sign, and beyond that rain in the mountains! http://t.co/Dw5nf0ibtr",0,0,1,0,0
"@VirginAmerica Hey, first time flyer next week - excited! But I'm having a hard time getting my flights added to my Elevate account. Help?",0,0,1,1,0
@VirginAmerica I have an unused ticket but moved to a new city where you don't fly. How can I fly with you before it expires? #travelhelp,0,0,0,1,0
@VirginAmerica are flights leaving Dallas for Seattle on time Feb 24?,0,0,0,1,0
@VirginAmerica I'm #elevategold for a good reason: you rock!!,1,0,0,0,0
@VirginAmerica wow this just blew my mind,1,0,0,0,0
@VirginAmerica @ladygaga @carrieunderwood After last night #tribute #SoundOfMusic #Oscars2015 @ladygaga! I think @carrieunderwood agree,0,0,1,0,0
@VirginAmerica @ladygaga @carrieunderwood All were entertaining,0,0,1,0,0
"@VirginAmerica Is flight 769 on it's way? Was supposed to take off 30 minutes ago. Website still shows ""On Time"" not ""In Flight"". Thanks.",0,0,1,0,0
@VirginAmerica @ladygaga @carrieunderwood Julie Andrews all the way though @ladygaga was very impressive! NO to @Carrieunderwood,1,0,0,0,0
@VirginAmerica wish you flew out of Atlanta... Soon?,0,0,1,0,0
@VirginAmerica @ladygaga @carrieunderwood Julie Andrews. Hands down.,0,0,1,0,0
@VirginAmerica Will flights be leaving Dallas for LA on February 24th?,0,0,1,0,0
@VirginAmerica hi! i'm so excited about your $99 LGA-&gt DAL deal- but i've been trying 2 book since last week &amp,0,0,1,0,0
@VirginAmerica you know it. Need it on my spotify stat #guiltypleasures,0,0,1,0,0
@VirginAmerica New marketing song? https://t.co/F2LFULCbQ7 let us know what you think?,0,0,1,0,0
@VirginAmerica @ladygaga @carrieunderwood Julie Andrews first but Lady Gaga wow'd me last night. Carrie? Meh.,0,0,0,1,0
@VirginAmerica I called a 3-4 weeks ago about adding 3 flights from 2014 to my Elevate...they still haven't shown up...help!,0,0,1,0,0
"@VirginAmerica @ladygaga @carrieunderwood all are great , but I have to go with #CarrieUnderwood ??",0,0,1,0,0
"@VirginAmerica @LadyGaga @CarrieUnderwood Sorry, Mary Martin had it first!",0,0,1,0,0
@VirginAmerica @ladygaga @carrieunderwood  love all three but you really can't beat the classics!,1,0,0,0,0
@VirginAmerica Flight 0736 DAL to DCA 2/24 2:10pm. Tried to check in could not. Status please.,0,0,1,0,0
@VirginAmerica heyyyy guyyyys.. been trying to get through for an hour. can someone call me please? :/,0,1,0,1,0
"@VirginAmerica Hi, Virgin! I'm on hold for 40-50 minutes -- are there any earlier flights from LA to NYC tonight; earlier than 11:50pm?",0,0,0,1,0
@VirginAmerica Congrats on winning the @Travelzoo award for Best Deals from an Airline (US) http://t.co/kj1iljaebV,1,0,0,0,0
@VirginAmerica everything was fine until you lost my bag,0,1,0,0,0
@virginamerica Need to change reservation. Have Virgin credit card. Do I need to modify on phone to waive change fee? Or can I do online?,0,0,0,1,0
@VirginAmerica I emailed your customer service team. Let me know if you need the tracking number.,0,0,1,0,0
"@VirginAmerica hi I just booked a flight but need to add baggage, how can I do this?",0,1,0,1,0
@VirginAmerica your airline is awesome but your lax loft needs to step up its game. $40 for dirty tables and floors? http://t.co/hy0VrfhjHt,1,0,0,1,1
"@VirginAmerica not worried, it's been a great ride in a new plane with great crew. All airlines should be like this.",1,0,0,0,1
@VirginAmerica awesome. I flew yall Sat morning. Any way we can correct my bill ?,1,0,0,0,1
"@VirginAmerica Or watch some of the best student films in the country at 35,000 feet! #CMFat35000feet http://t.co/KEK5pDMGiF",0,0,1,0,0
@VirginAmerica first time flying you all. do you have a different rate/policy for media Bags? Thanks,0,0,0,1,0
@VirginAmerica what is going on with customer service? Is there anyway to speak to a human asap? Thank you.,0,0,0,1,0
@VirginAmerica what happened to the Doom?!,0,0,1,1,0
@VirginAmerica why can't you supp the biz traveler like @SouthwestAir  and have customer service like @JetBlue #neverflyvirginforbusiness,0,1,0,1,0
@VirginAmerica I've applied more then once to be a member of the #inflight crew team...Im 100% interested. #flightattendant #dreampath -G,0,0,1,0,0
@VirginAmerica you're the best!! Whenever I (begrudgingly) use any other airline I'm delayed and Late Flight :(,1,1,0,0,0
@VirginAmerica I have no interesting flying with you after this. I will Cancelled Flight my next four flights I planned.#neverflyvirginforbusiness,0,1,0,0,0
@VirginAmerica it was a disappointing experience which will be shared with every business traveler I meet. #neverflyvirgin,0,1,0,0,0
@VirginAmerica I’m having trouble adding this flight my wife booked to my Elevate account. Help? http://t.co/pX8hQOKS3R,0,1,0,1,0
@VirginAmerica why Can't bring up my reservation online using Flight Booking Problems code,0,0,0,1,0
@VirginAmerica Random Q: what's the distribution of elevate avatars? I bet that kitty has a disproportionate share http://t.co/APtZpuROp4,0,0,1,1,0
@VirginAmerica I &lt 3 Flying VA But Life happens and I am trying to #change my trip JPERHI  Can you help.VA home page will not let me ?,0,0,0,1,0
@VirginAmerica Why is the site down?  When will it be back up?,0,0,0,1,0
"@VirginAmerica ""You down with RNP?"" ""Yeah you know me!""",0,0,0,1,0
"@VirginAmerica hi, i did not get points on my elevate account for my most recent flight, how do i add the flight and points to my account?",0,0,1,1,0
@VirginAmerica I like the TV and interesting video . Just disappointed in Cancelled Flightled flight when other flights went out to jfk on Saturday .,0,1,0,0,0
"@VirginAmerica just landed in LAX, an hour after I should of been here. Your no Late Flight bag check is not business travel friendly #nomorevirgin",0,1,0,0,0
@VirginAmerica why is flight 345 redirected?,0,0,0,1,0
"@VirginAmerica Is it me, or is your website down?  BTW, your new website isn't a great user experience.  Time for another redesign.",0,1,0,1,1
@VirginAmerica I can't check in or add a bag. Your website isn't working. I've tried both desktop and mobile http://t.co/AvyqdMpi1Y,0,1,0,0,0
@VirginAmerica - Let 2 scanned in passengers leave the plane than told someone to remove their bag from 1st class bin? #uncomfortable,0,1,0,1,0
@virginamerica What is your phone number. I can't find who to call about a flight reservation.,0,0,0,1,0
@VirginAmerica is anyone doing anything there today?  Website is useless and no one is answering the phone.,0,1,0,1,0
@VirginAmerica trying to add my boy Prince to my ressie. SF this Thursday @VirginAmerica from LAX http://t.co/GsB2J3c4gM,0,0,1,0,0
@VirginAmerica why must a traveler miss a flight to Late Flight check a bag?  I missed my morning appointments and you lost my business. #sfo2lax,0,1,0,1,0
@VirginAmerica check out new music http://t.co/maRcnOCWzn,0,0,1,0,0
@virginamerica how's a direct flight FLL-&gt SFO have unexpected layover in Vegas 4 fuel yet peeps next to me bought for Vegas flight. #sneaky,0,1,0,0,0
@VirginAmerica your no Late Flight bag check just lost you my business. I missed flight and AM apt. Three other people on flight had same exp.,0,1,0,0,0
"@VirginAmerica - amazing customer  service, again! 💕💕 RaeAnn in SF - she's the best! #customerservice #virginamerica #flying",1,0,0,0,0
@VirginAmerica called your service line and was hung up on. This is awesome. #sarcasm,0,1,0,0,0
@VirginAmerica your site is tripping. I'm trying to check in and I'm getting the plain text version. I am reluctant to enter any card info.,0,1,0,1,0
@VirginAmerica I was scheduled for SFO 2 DAL flight 714 today. Changed to 24th due weather. Looks like flight still on?,0,0,1,1,0
"@VirginAmerica has getaway deals through May, from $59 one-way. Lots of cool cities http://t.co/QDlJHslOI5 #CheapFlights #FareCompare",0,0,1,0,0
@VirginAmerica come back to #PHL already. We need you to take us out of this horrible cold. #pleasecomeback http://t.co/gLXFwP6nQH,0,0,1,0,0
"@VirginAmerica should I be concerned that I am about to fly on a plane that needs to be delayed due to a ""tech stop""?",0,0,0,1,0
"@VirginAmerica is the best airline I have flown on.Easy to change your reservation,helpful representatives &amp; a comfortable flying experience",1,0,0,0,0
@VirginAmerica and again! Another rep kicked butt! Naelah represents your team so beautifully!! Thank you!!!,1,0,0,0,0
@VirginAmerica your beautiful front-end design is down right now  but it was cool to still book my ticket b/c all your back-end was secure.,1,0,0,0,0
"@VirginAmerica Love the team running Gate E9 at LAS tonight. Waited for a delayed flight, and they kept things entertaining",1,0,0,0,0
"@VirginAmerica And now the flight Flight Booking Problems site is totally down. Folks, what is the problem?",0,1,0,1,0
@VirginAmerica I like the customer service but a 40 min delay just for connecting passengers seems too long. VA370,1,1,0,0,1
@VirginAmerica thanks to your outstanding NYC-JFK crew who moved mountains to get me home to San Francisco tonight!,1,0,0,0,0
@VirginAmerica you have the absolute best team and customer service ever.  Every time I fly with you I'm delighted.  Thank you!,1,0,0,0,0
"@VirginAmerica Do you provide complimentary upgrades to first class, if there are available seats?",0,0,0,1,0
@VirginAmerica completely awesome experience last month BOS-LAS nonstop. Thanks for such an awesome flight and depart time. #VAbeatsJblue,1,0,0,0,0
@VirginAmerica How can I watch the #Oscars2015 on my JFK-&gt SFO flight?,0,0,0,1,0
@VirginAmerica is flight 882 Cancelled Flightled and what do I do if it is?,0,1,0,1,0
@VirginAmerica you are failing your customers because your check in process does not link to TSA pre-check.,0,1,0,0,0
@VirginAmerica @FiDiFamilies us too! Terrible airline! Just gave us a hotel hotline number and said sorry,0,1,0,0,0
@VirginAmerica has flight number 276 from SFO to Cabo San Lucas arrived yet?,0,0,0,1,0
@VirginAmerica @ChrysiChrysic your assistance yesterday when u Cancelled Flightled our flight was to give us a hotel hotline  Shame on you!,0,1,0,0,0
@VirginAmerica Another delayed flight? #likingyoulessandless,0,1,0,1,0
@VirginAmerica I need to register a service dog for a first class ticket from SFO &gt  Dulles. The phone queue is an hour or longer. Pls advise,0,0,1,0,0
@virginamerica you ROCK for making it so I can watch #Oscars on my flight!! #redcarpet #oscars #oscars2015,1,0,0,0,0
@VirginAmerica why can't we book seats on your flights when we buy them or even during check in? Creates so much anxiety! #frustrated,0,1,0,1,0
@VirginAmerica You'd think paying an extra $100 bucks RT for luggage might afford you hiring an extra hand at @sfo #lame,0,1,0,0,0
@VirginAmerica best customer service rep in the world! #irmafromDallas takes the cake!!!,1,0,0,0,0
@VirginAmerica Can you find us a flt out of LAX that is sooner than midnight on Monday? That would be great customer service ?,0,0,0,1,1
@VirginAmerica please provide status for flight 769.  I cant imagine it's on time as the Web indicates  dude to weather here and/or Dallas,0,0,1,0,0
@VirginAmerica you have amazing staff &amp  super helpful as I just ran the @WaltDisneyWorld #PrincessHalf they have spoiled me with comfort!!!,1,0,0,0,0
"@VirginAmerica I paid the premium to fly you across the country, you Cancelled Flight my flight and offer no check fee or upgrade love? Sad face :(",0,1,0,1,0
@VirginAmerica question: is it not possible to book a seat for an infant under 2? It's not giving me the option but we want a seat for him.,0,0,0,1,0
Always have it together!!! You're welcome! RT @VirginAmerica: @jessicajaymes You're so welcome.,1,0,0,0,0
@virginamerica #flight home to #dc #sunset #globe in' #backtowinter back to #work! #refreshed http://t.co/VX9vBCTdLf,0,0,1,0,0
.@VirginAmerica I don't understand why you need a DM to give me an answer on if you have a damaged luggage policy.,0,1,0,1,0
.@VirginAmerica does that mean you don't have a policy for destroyed luggage?,0,0,0,1,0
@VirginAmerica is there special assistance if I travel alone w/2 kids and 1 infant? Priority boarding?,0,0,0,1,0
@VirginAmerica thank you for checking in. tickets are purchased and customer is happy ,1,0,0,0,0
@VirginAmerica is your website ever coming back online?,0,1,0,1,0
"@VirginAmerica  - Is Flight 713 from Love Field to SFO definitely Cancelled Flightled for Monday, February 23?",0,0,0,1,0
@VirginAmerica Is flight 0769 out of LGA to DFW on time?,0,0,0,1,0
@VirginAmerica my drivers license is expired by a little over a month. Can I fly Friday morning using my expired license?,0,0,1,1,0
@VirginAmerica having problems Flight Booking Problems on the web site. keeps giving me an error and to contact by phone.  phone is 30 minute wait.,0,1,0,1,0
@VirginAmerica How do I reschedule my Cancelled Flightled flights online? The change button is greyed out!,0,1,0,1,0
"@VirginAmerica I rang, but there is a wait for 35 minutes!! I can book the same ticket through a vendor, fix your site",0,1,0,0,1
"@VirginAmerica got a flight (we were told) for 4:50 today..,checked my email and its for 4;50 TOMORROW. This is unacceptable.",0,1,0,0,0
"@VirginAmerica our flight into lga was Cancelled Flighted. We're stuck in Dallas. I called to reschedule, told I could get a flight for today...(1/2)",0,1,0,1,0
@virginamerica why don't any of the pairings include red wine?! Only white is offered :( #redwineisbetter,0,1,0,1,0
VirginAmerica is the website down?,0,0,0,1,0
@VirginAmerica - Your site seems a little wonked right now. May want to have a look. Tried on two browsers. No CSS? http://t.co/8qsQMM7KF2,0,1,0,1,1
@VirginAmerica I'm disappointed that the agent at the designated silver status check in line @Dulles_Airport closed to assist all pasengers,0,1,0,0,0
@VirginAmerica Plans to Include Austin to its Dallas Route - TopNews Arab #Emirates http://t.co/aqZWecOkk2,0,0,1,0,0
@VirginAmerica Is it normal to receive no reply from Central Baggage #baggageissues #smh,0,1,0,1,0
@VirginAmerica at Logan airport and waiting to checkin for my 9am flight. Checkin desk not open !!!!! Why?!,0,1,0,1,0
@VirginAmerica to jump into the Dallas-Austin market - @Dallas_News http://t.co/EwwGi97gdx,0,0,1,0,0
"@VirginAmerica Beats EPS Views, Takes On #SouthwestAir VA LUV - Investor's Business Daily http://t.co/FLwmGDAHxu",0,0,1,0,0
@VirginAmerica to begin Dallas-Austin #flights in April - 88.9 KETR http://t.co/SSUVWwkyHH,0,0,1,0,0
@VirginAmerica  I applied over 2 weeks ago. Haven't heard back and I'm flying this week #disappointed,0,1,0,0,0
@VirginAmerica I'd love to know what your policy is for damaged luggage.,0,0,1,0,0
@VirginAmerica Thank you for the follow,1,0,0,0,0
@VirginAmerica - too many apologies! You r the worse airlines! Don't even respond to your cudtomers,0,1,0,0,0
@VirginAmerica shame on VA for making people spend money in stranded cities when other airlines are landing at JFK! Who will reimburse me?,0,1,0,1,0
@VirginAmerica can you please have flights in  SJC ? I have no choice but to fly Southwest to Vegas ??,0,0,0,1,0
@VirginAmerica too bad you say it takes 10 to 14 days via YOUR confirmation email. When I inquired after 3 weeks you claim 6 to 8 weeks!,0,1,0,0,0
@VirginAmerica Flight from BOS &gt  LAS tomorrow was Cancelled Flightled. No notification?,0,1,0,1,0
 @VirginAmerica: You’ve met your match. Got status on another airline? Upgrade (+restr): http://t.co/RHKaMx9VF5. http://t.co/PYalebgkJt,0,0,1,0,0
@VirginAmerica Only way to fly! #Elevate #Gold,1,0,0,0,0
@VirginAmerica If only you guys had flights from CMH.,0,0,1,0,0
"@VirginAmerica a lot of ""apologies"" being thrown out to customers from what I can see.Very sad. Thanks for nothing. Worst airline ever.",0,1,0,0,0
@VirginAmerica  for all my flight stuff wrong and did nothing about it. Had #worst #flight ever,0,1,0,0,0
@VirginAmerica Having an issue finding a missing item on a plane. Can you help me find which airport my plane headed to next?,0,0,0,1,0
@VirginAmerica you will match my #AmericanAirlines status? Cool!,1,0,0,0,0
@VirginAmerica trying to book a flight with you guys and your website won't let me... about to lose my business,0,1,0,0,0
@VirginAmerica you suck! I hate you,0,1,0,0,0
@VirginAmerica thanks for the help!,1,0,0,0,0
@VirginAmerica Because we never rec'd Cancelled Flightlation notice we were left w no options to fly out of PS. Driving to LA for a red eye Mon w kids,0,1,0,0,0
@VirginAmerica trying to book a flight &amp  your site is down ?,0,0,0,1,0
@VirginAmerica You have any flights flying into Boston tomorrow? I need to be home and you Cancelled Flightled my flight and didn't do anything,0,1,0,1,0
@VirginAmerica you stink. Flight Cancelled Flighted from PSP to JFK and no notification or ability to rebook #disappointed.  #expected better,0,1,0,0,0
@VirginAmerica I love your guy's song! We're dancing to it for our high school dance revue,1,0,0,0,0
@VirginAmerica Your website is down and I'm trying to check in!,0,1,0,0,0
"@VirginAmerica done! Thank you for the quick response, apparently faster than sitting on hold ;)",1,0,0,0,0
@VirginAmerica nervous about my flight from DC to LAX getting Cancelled Flightled tomorrow! Just sent you a DM to help me!,0,0,1,0,0
@VirginAmerica cool picture of another VirginAmerica plane off our wing. What a site! http://t.co/5B2agFd8c4,1,0,0,0,0
@VirginAmerica Keep up the great work :),1,0,0,0,0
@VirginAmerica my goodness your people @love field are amazing under pressure ❤️from Texas #beatstheothers in crisis Please fly me to NY,1,0,0,0,0
@VirginAmerica Thanks for a great flight from LA to Boston! Pilots did a great job landing in the snow. Can we go back to LA now? #seriously,1,0,0,1,0
@VirginAmerica can you please get me to the new york area before monday afternoon,0,0,0,1,0
"@VirginAmerica Thanks so much for the awesome support, you guys rock!",1,0,0,0,0
@VirginAmerica seats in Row 8 don't recline should mention that on your website #soreback,0,0,1,0,1
@VirginAmerica flight 404 delayed 2 hours in LA due to mechanical problems. Handle like pros but you could have tossed us a free drink.,0,1,0,0,1
@VirginAmerica why Cancelled Flight flights today? No precipitation to be scared of!  ❄️❄️❄️,0,0,0,1,0
@VirginAmerica twitter team. you guys killed it for rescheduling me asap. thank you!,1,0,0,0,0
@VirginAmerica You guys charged me $100 to reschedule a flight that was then Cancelled Flighted and are now refusing to refund it. What's the deal?,0,1,0,1,0
@VirginAmerica can’t access your website from Safari on iPhone 6. Seems to work on Mac and iPad. Need iPhone to add Passbook.,0,1,0,0,0
"@VirginAmerica on iPad and iPhone, clicking the CHECKIN link in the email I received at 24hrs before flight",0,0,1,0,0
"@VirginAmerica your mobile site is broken, shows 
""{{header.elevateUser.numOfPointsAvailable || '0' | number}} Points"", won't let me checkin",0,1,0,0,0
@VirginAmerica I was really looking forward to my flight. can you let me know when it will be rescheduled? #diehardvirgin,0,0,0,1,0
"@VirginAmerica why Cancelled Flight flight VX413? One sec its delayed, on my to airport, the next its Cancelled Flightled?Gonna email or call me to reschedule?",0,1,0,1,0
@VirginAmerica I did it but there was a problem in the link from the email for check-in. thanks,0,0,1,0,0
@VirginAmerica had to change to another airline to get to DC today ... Why is @united able to land in DC but not you? Cost me $800 ...ugh,0,1,0,1,0
@VirginAmerica I was so looking forward to my first flight with you today but it was Cancelled Flightled along with the subsequent one ...,0,1,0,0,0
@VirginAmerica when are you putting some great deals from PDX to LAS or from LAS to PDX show me your love! http://t.co/enIQg0buzj,1,0,0,0,1
@VirginAmerica wish I can afford to fly with you next Friday  going back home.. love everything  about your airline,1,0,0,0,0
@VirginAmerica  how are you gonna have a deal from Dallas to DC but no deal from DC to Dallas? #sad,0,1,0,1,0
@VirginAmerica hold times at call center are a bit much,0,1,0,0,0
@VirginAmerica is the Site down? #help,0,0,0,1,0
@VirginAmerica You have the best flight attendant ever!!! http://t.co/PxdEL1nq3l,1,0,0,0,0
"Awesome! RT @VirginAmerica: Watch nominated films at 35,000 feet. #MeetTheFleet #Oscars http://t.co/DnStITRzWy",1,0,0,0,0
@VirginAmerica thanks so much for help!,1,0,0,0,0
"@VirginAmerica Trying to reset my password, email never arrives. Help?",0,1,0,1,0
"@VirginAmerica, the only airline based in Silicon Valley! #disruption #FCmostinnovative #incubator  @FastCompany's http://t.co/wU3LbCNcr9",1,0,0,0,0
@VirginAmerica I’m looking forward to watching the Oscars on my flight home tomorrow. I might even get something bubbly to drink! ,1,0,0,0,0
@VirginAmerica What is the reason  for the delay of the departure of VX 413 from JFK this afternoon?,0,1,0,1,0
"@VirginAmerica is todays flight from Palm Springs, Ca to JFK in NY Cancelled Flightled?",0,1,0,1,0
@VirginAmerica hahaha ?@VirginAmerica YOU GUYS ARE AMAZING. I LOVE YOU GUYS!!!?,1,0,0,0,0
@VirginAmerica this sounds like fun !,1,0,0,0,0
@VirginAmerica any updates on flight 413 from Jfk &gt,0,0,1,0,0
"@VirginAmerica the CSS on your site is a 404 right now, please fix. Site unusable.",0,0,1,0,1
"@VirginAmerica We're on flight 910 Vegas to Boston today, checked in online but our bag count didn't register. Can I fix that somehow?",0,1,0,1,0
"@VirginAmerica classiq, luv Virgin America. Greetingz",1,0,0,0,0
"@VirginAmerica Hi, I'm trying to do check-in but the website is not working. I tried 3 different browsers and the problem continues",0,1,0,1,0
@VirginAmerica Thanks for your great customer service today &amp,1,0,0,0,0
@VirginAmerica thanks guys! Sweet route over the Rockies #airplanemodewason,1,0,0,0,0
@VirginAmerica love the 90s music blasting at gate in #Boston while waiting for flight to #SanFrancisco. Only if I could get an iced coffee!,1,0,0,0,0
"@VirginAmerica - the passenger in 7D, Flt 338 that assaulted me shouldn't have flown. I trust he's banned. Crew filed report to @FAANews",0,1,0,0,0
@VirginAmerica current bug on website shows ‘select departure city’ when selecting destination city http://t.co/SLLYIBE2vQ,0,1,0,0,0
@VirginAmerica luggage was severely dented/missing wheel coming off baggage claim in SAN. Luggage agent Miranda (I think) wasn't any help.,0,1,0,1,0
"@VirginAmerica thank you for the easy itinerary shift for impending weather. Quick, painless &amp; free.",1,0,0,0,0
"@VirginAmerica If you'd love to see more girls be inspired to become pilots, RT our free WOAW event March 2-8 at ABQ. http://t.co/rfXlV1kGDh",0,0,1,0,0
@VirginAmerica Thanks! Good times there and back! #Vodkatonics the entire flight?#sfo,1,0,0,0,0
"@VirginAmerica beats expectations, shares take off - Santa Cruz Sentinel http://t.co/qm9dQbai6G",0,0,1,0,0
@VirginAmerica any plans to start flying direct from DAL to LAS?,0,0,1,1,0
@VirginAmerica BIG Love/gratitude.mpower w/ http://t.co/1AGR9knCpf weRin #OSCARS2105 VIPswagbags@ #AvalonHollywood http://t.co/ybMbGs0dHn,0,0,1,0,0
"@VirginAmerica, you're doing a great job adding little luxuries/aesthetics that improve the air travel experience. Thank you. Keep it up!",1,0,0,0,1
@VirginAmerica requested window seat and confirmed window but got stuck in middle seat. Not a good way to treat silver member,0,1,0,0,0
@VirginAmerica Grand Budapest Hotel #OscarsCountdown,0,0,1,0,0
@VirginAmerica This is what you missed @NewsVP. Next trip to the 407.,0,0,1,0,0
@VirginAmerica #wtf I paid for direct flight on purpose not to have to stop for fuel exhausted frequent flier and nothing for inconvenience!,0,1,0,0,0
@VirginAmerica there is something wrong with you website in Safari iPhone,0,1,0,0,0
@VirginAmerica thanks for gate checking my baggage on your full flight dfw-lax 883 and giving me early boarding too #sweet,1,0,0,0,0
@VirginAmerica Already checked in so the page expired :X,0,1,0,0,0
@VirginAmerica Boo for a not refunding a seat upgrade fee I did not want to buy in the first place!,0,1,0,0,0
@VirginAmerica shares rise on Q4 financial results - USA TODAY http://t.co/lFS4PEFE6y,0,0,1,0,0
@VirginAmerica Adds Pillows Instead of Lie-Flat Seats in First Class Arms Race http://t.co/rGYwJBbhm4,0,0,0,0,1
@VirginAmerica way to take advantage of #MayweatherPacquiao :),0,0,1,0,0
@VirginAmerica you know I'm flying virgin for the fight #MayweatherPacquiao,0,0,1,0,0
@VirginAmerica your inflight team makes the experience #amazing!,1,0,0,0,0
@VirginAmerica cutest salt and pepper shaker ever. Just when I think you guys can't get any better you just do! http://t.co/vC6Keulg2J,1,0,0,0,1
"@VirginAmerica moved my seat with no notice. ""Better seat"" is cabin select not behind the row I selected? #DISAPPOINTED",0,1,0,1,0
@VirginAmerica shares up on 4Q results - @iol http://t.co/XZ6qeG3nef,0,0,1,0,0
@VirginAmerica This is my fav airline,1,0,0,0,0
@VirginAmerica we have a hot female pilot! Sweet! DCA to SFO! :-),1,0,0,0,0
??✈️✈️? When are you guys going to start flying to Paris? @VirginAmerica: @LizaUtter You're welcome.”,0,0,1,1,0
@VirginAmerica what is your policy on flying after surgery?  I am still waiting for answer so I can tell me doctor.,0,0,1,0,0
@VirginAmerica already contacted Central Baggage &amp  sent DM. @RenttheRunway is charging me for the dress that was in the lost suitcase #help,0,0,1,0,0
@VirginAmerica Is there anything going on with the website? I've been getting a lot of errors past 30 minutes.,0,1,0,1,0
@VirginAmerica I think i left something on the plane yesterday. who do i call...ah!,0,0,1,1,0
@VirginAmerica I need you to follow back in order to DM.,0,0,1,0,1
@VirginAmerica Need to start flying to @KCIAirport .  ????,0,0,1,0,0
@VirginAmerica they told to check with the airline regulation first so that is why I contacted you.,0,0,1,0,0
@VirginAmerica @VirginAtlantic I have just checked in flight to SFO from LAX &amp  been told as Atlantic Flying Club Gold I get no benefits?!,0,1,0,1,0
@VirginAmerica husband and I ordered three drinks via my screen and they never came. Awesome!,0,1,0,0,0
@VirginAmerica soooo are you guys going to leave the seatbelt light on all flight? You can barely call this turbulence :-),0,1,0,1,0
@VirginAmerica what is your policy on flying after surgery?,0,0,0,1,0
